Calb01,x,75.96,x,x,x,x,x,x,x,x
Calb02,x,83.57,x,x,x,x,x,x,x,x
Calb03,x,78.51,x,x,x,x,x,x,x,x
Calb04,x,58.45,x,x,x,x,x,x,x,x
Calb05,x,66.93,x,x,x,x,x,x,x,x
Calb06,x,53.16,x,x,x,x,x,x,x,x
Calb07,x,71.53,x,x,x,x,x,x,x,x
Calb08,x,52.28,x,x,x,x,x,x,x,x
Calb09,x,79.41,x,x,x,x,x,x,x,x
Calb10,x,62.43,x,x,x,x,x,x,x,x
Calb11,x,65.01,x,x,x,x,x,x,x,x
Calb12,x,51.09,x,x,x,x,x,x,x,x
Calb13,x,69.34,x,x,x,x,x,x,x,x
Calb14,x,65.11,x,x,x,x,x,x,x,x
Calb15,x,64.9,x,x,x,x,x,x,x,x
Calb16,x,56.17,x,x,x,x,x,x,x,x
Calb17,x,65.53,x,x,x,x,x,x,x,x
Calb18,x,61.5,x,x,x,x,x,x,x,x
Calb19,x,62.15,x,x,x,x,x,x,x,x
Calb20,x,66.36,x,x,x,x,x,x,x,x
Calb21,x,71.78,x,x,x,x,x,x,x,x
Calb22,x,71.12,x,x,x,x,x,x,x,x
Calb23,x,64.8,x,x,x,x,x,x,x,x
Calb24,x,52.57,x,x,x,x,x,x,x,x
Calb25,x,57.74,x,x,x,x,x,x,x,x
Calb26,x,64.59,x,x,x,x,x,x,x,x
Calb27,x,46.03,x,x,x,x,x,x,x,x
Calb28,x,59.05,x,x,x,x,x,x,x,x
Calb29,x,62.4,x,x,x,x,x,x,x,x
Calb30,x,62.75,x,x,x,x,x,x,x,x
Calb31,x,53.35,x,x,x,x,x,x,x,x
Calb32,x,56.67,x,x,x,x,x,x,x,x
Calb33,x,67.73,x,x,x,x,x,x,x,x
Calb34,x,61.12,x,x,x,x,x,x,x,x
Calb35,x,36.88,x,x,x,x,x,x,x,x
Calb36,x,24.18,x,x,x,x,x,x,x,x
Calb37,x,27.48,x,x,x,x,x,x,x,x
Calb38,x,11.86,x,x,x,x,x,x,x,x
Calb39,x,17.17,x,x,x,x,x,x,x,x
Calb40,x,15.2,x,x,x,x,x,x,x,x
